code,work_rvu
A0021,0
A0080,0
A0090,0
A0100,0
A0110,0
A0120,0
A0130,0
A0140,0
A0160,0
A0170,0
A0180,0
A0190,0
A0200,0
A0210,0
A0225,0
A0380,0
A0382,0
A0384,0
A0390,0
A0392,0
A0394,0
A0396,0
A0398,0
A0420,0
A0422,0
A0424,0
A0425,0
A0426,0
A0427,0
A0428,0
A0429,0
A0430,0
A0431,0
A0432,0
A0433,0
A0434,0
A0435,0
A0436,0
A0888,0
A0998,0
A0999,0
A2001,0
A2002,0
A2004,0
A2005,0
A2006,0
A2007,0
A2008,0
A2009,0
A2010,0
A2011,0
A2012,0
A2013,0
A2014,0
A2015,0
A2016,0
A2017,0
A2018,0
A2019,0
A2020,0
A2021,0
A2022,0
A2023,0
A2024,0
A2025,0
A2026,0
A2027,0
A2028,0
A2029,0
A4100,0
A4206,0
A4207,0
A4208,0
A4209,0
A4210,0
A4211,0
A4212,0
A4213,0
A4215,0
A4216,0
A4217,0
A4218,0
A4220,0
A4221,0
A4222,0
A4223,0
A4224,0
A4225,0
A4226,0
A4230,0
A4231,0
A4232,0
A4233,0
A4234,0
A4235,0
A4236,0
A4238,0
A4239,0
A4244,0
A4245,0
A4246,0
A4247,0
A4248,0
A4250,0
A4252,0
A4253,0
A4255,0
A4256,0
A4257,0
A4258,0
A4259,0
A4261,0
A4262,0
A4263,0
A4264,0
A4265,0
A4266,0
A4267,0
A4268,0
A4269,0
A4270,0
A4271,0
A4280,0
A4281,0
A4282,0
A4283,0
A4284,0
A4285,0
A4286,0
A4287,0
A4290,0
A4300,0
A4301,0
A4305,0
A4306,0
A4310,0
A4311,0
A4312,0
A4313,0
A4314,0
A4315,0
A4316,0
A4320,0
A4321,0
A4322,0
A4326,0
A4327,0
A4328,0
A4330,0
A4331,0
A4332,0
A4333,0
A4334,0
A4335,0
A4336,0
A4337,0
A4338,0
A4340,0
A4341,0
A4342,0
A4344,0
A4346,0
A4349,0
A4351,0
A4352,0
A4353,0
A4354,0
A4355,0
A4356,0
A4357,0
